Date,Open,High,Low,Close,% Change,% Change vs Average,Volume
2022-03-27T18:30:00.000Z,1752,1755,1725.1,1741.6,-0.54,-0.65,"17,99,629"
2022-03-28T18:30:00.000Z,1748.7,1754.1,1733,1746.65,0.29,0.18,"20,71,779"
2022-03-29T18:30:00.000Z,1766.9,1777.05,1754.1,1773.6,1.54,1.43,"17,12,835"
2022-03-30T18:30:00.000Z,1779.95,1781.35,1758,1767.65,-0.34,-0.45,"14,01,916"
2022-03-31T18:30:00.000Z,1759,1794,1759,1790.1,1.27,1.16,"20,50,573"
2022-04-03T18:30:00.000Z,1784,1829.85,1776.6,1826.35,2.03,1.91,"19,55,281"
2022-04-04T18:30:00.000Z,1840,1845,1827,1836.05,0.53,0.42,"17,18,581"
2022-04-05T18:30:00.000Z,1833,1858,1827.7,1852.8,0.91,0.8,"22,45,496"
2022-04-06T18:30:00.000Z,1849.9,1855.85,1810.15,1826.3,-1.43,-1.54,"20,03,954"
2022-04-07T18:30:00.000Z,1835.4,1838.9,1818.05,1830.75,0.24,0.13,"19,03,321"
2022-04-10T18:30:00.000Z,1820.25,1829.75,1779,1781.5,-2.69,-2.8,"22,62,446"
2022-04-11T18:30:00.000Z,1780,1781.5,1733.6,1747.7,-1.9,-2.01,"42,15,141"
2022-04-12T18:30:00.000Z,1754.2,1772.85,1747.1,1760.8,0.75,0.64,"16,73,417"
2022-04-17T18:30:00.000Z,1746.3,1749.95,1715,1738.35,-1.27,-1.39,"18,08,707"
2022-04-18T18:30:00.000Z,1748.3,1760.75,1687,1705.75,-1.88,-1.99,"27,37,766"
2022-04-19T18:30:00.000Z,1709.95,1712.4,1671.35,1691.6,-0.83,-0.94,"38,32,617"
2022-04-20T18:30:00.000Z,1702.95,1725.8,1700,1714.5,1.35,1.24,"17,97,489"
2022-04-21T18:30:00.000Z,1701,1716.4,1690.4,1694.35,-1.18,-1.29,"14,74,689"
2022-04-24T18:30:00.000Z,1675,1675,1652,1657.35,-2.18,-2.3,"19,64,344"
2022-04-25T18:30:00.000Z,1680,1703.1,1664,1699.95,2.57,2.46,"24,40,990"
2022-04-26T18:30:00.000Z,1675,1691.6,1666.7,1677.05,-1.35,-1.46,"13,46,726"
2022-04-27T18:30:00.000Z,1690,1731,1680,1719.25,2.52,2.4,"31,17,433"
2022-04-28T18:30:00.000Z,1731,1739,1687.15,1694.35,-1.45,-1.56,"24,04,830"
2022-05-01T18:30:00.000Z,1668.6,1685.95,1655.05,1679.45,-0.88,-0.99,"13,99,802"
2022-05-03T18:30:00.000Z,1679.5,1681.9,1625.05,1633.95,-2.71,-2.82,"17,77,673"
2022-05-04T18:30:00.000Z,1650.7,1671.2,1633,1637.65,0.23,0.11,"17,07,752"
2022-05-05T18:30:00.000Z,1616,1633,1612.1,1622.45,-0.93,-1.04,"14,39,520"
2022-05-08T18:30:00.000Z,1607.55,1629.85,1591.25,1616.15,-0.39,-0.5,"14,00,010"
2022-05-09T18:30:00.000Z,1611,1629.6,1601,1607.95,-0.51,-0.62,"11,76,030"
2022-05-10T18:30:00.000Z,1600.5,1609,1557.35,1570.8,-2.31,-2.42,"29,88,788"
2022-05-11T18:30:00.000Z,1550,1554.95,1513.1,1526.15,-2.84,-2.95,"34,07,191"
2022-05-12T18:30:00.000Z,1530,1574.9,1502,1534.5,0.55,0.43,"43,28,846"
2022-05-15T18:30:00.000Z,1550,1567.5,1539.45,1542.9,0.55,0.44,"17,75,914"
2022-05-16T18:30:00.000Z,1545,1607.9,1545,1604.1,3.97,3.85,"16,08,711"
2022-05-17T18:30:00.000Z,1623,1623,1565,1572.5,-1.97,-2.08,"29,84,009"
2022-05-18T18:30:00.000Z,1550,1562.75,1540.35,1547.95,-1.56,-1.67,"17,98,843"
2022-05-19T18:30:00.000Z,1569.4,1613.45,1561.05,1610.1,4.01,3.9,"21,75,224"
2022-05-22T18:30:00.000Z,1629,1660,1605.6,1644.15,2.11,2,"41,77,811"
2022-05-23T18:30:00.000Z,1644.8,1653.7,1610.1,1626.3,-1.09,-1.2,"19,70,395"
2022-05-24T18:30:00.000Z,1633,1639.7,1571.1,1574.75,-3.17,-3.28,"14,17,130"
2022-05-25T18:30:00.000Z,1575,1588.9,1536.65,1564.55,-0.65,-0.76,"35,78,710"
2022-05-26T18:30:00.000Z,1575.2,1606,1574,1600.3,2.29,2.17,"12,79,218"
2022-05-29T18:30:00.000Z,1620,1663.7,1613.6,1660.85,3.78,3.67,"21,19,326"
2022-05-30T18:30:00.000Z,1660.5,1674.4,1645,1654.5,-0.38,-0.49,"35,34,742"
2022-05-31T18:30:00.000Z,1653.55,1661,1638.45,1648,-0.39,-0.5,"14,25,466"
2022-06-01T18:30:00.000Z,1632,1649.45,1623.7,1637.15,-0.66,-0.77,"18,52,251"
2022-06-02T18:30:00.000Z,1657.95,1673.7,1644.95,1652.05,0.91,0.8,"29,28,263"
2022-06-05T18:30:00.000Z,1652.15,1662.3,1634.1,1640.2,-0.72,-0.83,"15,38,005"
2022-06-06T18:30:00.000Z,1630,1638.4,1586.1,1589.45,-3.09,-3.21,"21,57,491"
2022-06-07T18:30:00.000Z,1595,1607.8,1570.1,1584.55,-0.31,-0.42,"21,22,442"
2022-06-08T18:30:00.000Z,1556.2,1600,1556.2,1595.1,0.67,0.55,"13,61,104"
2022-06-09T18:30:00.000Z,1570,1594.5,1569.05,1585.1,-0.63,-0.74,"13,37,799"
2022-06-12T18:30:00.000Z,1560.15,1565.95,1518.3,1532.05,-3.35,-3.46,"24,60,367"
2022-06-13T18:30:00.000Z,1532.05,1554.3,1525.2,1544.65,0.82,0.71,"19,83,405"
2022-06-14T18:30:00.000Z,1547.95,1567,1539.05,1560.35,1.02,0.9,"14,61,683"
2022-06-15T18:30:00.000Z,1568.4,1575,1516.75,1527.4,-2.11,-2.22,"23,29,325"
2022-06-16T18:30:00.000Z,1522,1529.95,1481.4,1489.95,-2.45,-2.56,"45,48,572"
2022-06-19T18:30:00.000Z,1490,1497.85,1456.35,1471.8,-1.22,-1.33,"18,37,431"
2022-06-20T18:30:00.000Z,1480,1515.2,1476.9,1500.3,1.94,1.82,"14,58,922"
2022-06-21T18:30:00.000Z,1490,1490.95,1468,1478.75,-1.44,-1.55,"19,06,619"
